TML,WIRE,HEIGHT
2110490001,SS0.3,0.95
2110490001,SS0.5,1.1
2120400003,HS0.3,0.9
2120400003,SS0.3,0.9
2120400003,SX0.3,0.9
2120400003,VS0.3,0.9
2120400003,XA0.3,0.9
2120400003,XF0.3,0.9
2120400003,CI0.35,0.9
2120400003,HS0.5,1
2120400003,OH0.5,1
2120400003,SH0.5,1
2120400003,SHB0.5,1
2120400003,SHS0.5,1
2120400003,SS0.5,1
2120400003,SX0.5,1
2120400003,VS0.5,1
2120400003,XA0.5,1
2120400003,XF0.5,1
2120600001,SS0.3,1.05
2120600001,XF0.3,1.05
2120600001,CI0.35,1
2120600001,SX0.5,1.1
2120600001,XF0.5,1.1
2120600002,CI1.0,1.25
2120600002,SHS1.25,1.35
2120600002,SS1.25,1.35
2120600002,SX1.25,1.35
2120600002,XF1.25,1.35
2120900002,HS0.75,1.3
2120900002,SH0.75,1.3
2120900002,SHB0.75,1.3
2120900002,SHF0.75,1.3
2120900002,SX0.75,1.3
2120900002,VS0.75,1.3
2120900002,XF0.75,1.3
2120900002,SX0.85,1.3
2120900002,EF1.25,1.35
2120900002,HS1.25,1.35
2120900002,SH1.25,1.35
2120900002,SHB1.25,1.35
2120900002,SHF1.25,1.35
2120900002,SX1.25,1.35
2120900002,XA1.25,1.35
2120900002,XF1.25,1.35
2121870001,SS1.25,1.55
2121870001,SX1.5,1.7
2121870001,VS1.5,1.7
2121870001,SS2.0,1.75
2121870002,SS0.3,1.1
2121870002,SS0.5,1.1
2122500008,SS2.0,1.9
2122500008,XF2.5,1.95
2122500008,AS3.0,2.1
2122500008,EF3.0,2.1
2122500008,VF3.0,2.1
2124WP0001,XF0.75,0.95
2124WP0001,SX0.85,1
21262C0001,AS0.5,1
21262C0001,SS0.5,1
21262C0001,VS0.5,1
21262C0001,SS0.3+SS0.3,1.05
21262C0001,EF0.85,1.1
21262C0001,SS0.85,1.1
21262C0001,XF0.85,1.1
212BAT0002,XS20.0,6.5
212JPT0001,CI0.5,1.25
212JPT0001,SS0.5,1.25
212JPT0001,SX0.5,1.25
212JPT0001,VS0.5,1.25
212JPT0001,XF0.5,1.25
212JPT0001,SX0.75,1.3
212JPT0001,VS0.75,1.3
212JPT0001,XF0.75,1.3
212JPT0001,SS0.85,1.4
212MFT0001,SS0.3,1.35
212MFT0001,SX0.3,1.35
212MFT0001,HS0.5,1.45
212MFT0001,SS0.5,1.45
212MFT0001,SX0.5,1.45
212MFT0001,XA0.5,1.45
212MFT0001,XF0.5,1.45
212MFT0001,SS0.3+SS0.3,1.5
212MFT0001,SS0.3+XA0.3,1.5
212MFT0001,XA0.3+XA0.3,1.5
212MFT0002,HS0.75,1.5
212MFT0002,SX0.75,1.5
212MFT0002,XF0.75,1.5
212MFT0002,SS0.3+SS0.5,1.5
212MFT0002,SS0.85,1.5
212MFT0002,SX0.85,1.5
212MFT0002,XA0.85,1.5
212MFT0002,SS0.5+SS0.5,1.6
212MFT0002,SS0.5+XA0.5,1.6
212MFT0002,SX0.5+SX0.5,1.6
212MFT0002,EF1.25,1.7
212MFT0002,HS1.25,1.7
212MFT0002,SS1.25,1.7
212MFT0002,SX0.5+SX0.75,1.7
212MFT0002,SX1.25,1.7
212MFT0002,XA1.25,1.7
212MFT0002,XF1.25,1.7
212MFT0002,SS0.5+SS0.85,1.7
212MFT0002,SX0.5+SX0.85,1.7
212MFT0002,SS0.85+SS0.85,1.75
212MFT0002,SS0.5+SS1.25,1.75
212MFT0002,SS1.25+SX0.5,1.75
212MFT0002,SX0.5+SX1.25,1.75
212MFT0002,EF2.0,1.85
212MFT0002,SS2.0,1.85
212MFT0002,SX2.0,1.85
212MFT0002,XA2.0,1.85
212MFT0002,XF2.0,1.85
212MFT0003,EF2.0,1.95
212MFT0003,SS2.0,1.95
212MFT0003,XA2.0,1.95
212MFT0003,XF2.0,1.95
212MFT0003,SS1.25+SS1.25,2.1
212MFT0003,XF1.25+XF1.25,2.1
212MFT0003,XF2.5,2.1
212MFT0003,SS0.85+SS2.0,2.15
212MFT0003,AS3.0,2.3
212MFT0003,EF3.0,2.3
2130490002,SS0.3,1.2
213MIC0001,SS0.3,0.85
213MIC0001,SX0.3,0.85
213MIC0001,XA0.3,0.85
213MIC0001,XF0.3,0.85
213SSD0001,SX0.3,0.9
213SSD0001,SS0.5,1
213SSD0001,SX0.5,1
213SSD0001,XF0.5,1
2220250001,SS0.3,1.05
2220250001,XF0.3,1.05
2220250001,CI0.35,1.05
2220250001,SS0.5,1.1
2220400003,SS0.3,1
2220400003,SS0.5,1.1
2220700001,SS1.25,1.35
2220SP0001,SS0.3,0.85
2221870001,SS0.5,1.1
2221870002,SS0.5,1.35
2221870002,SS0.5+SS0.5,1.65
2222500001,SS0.3,1
2224220001,SS0.3,1.15
2224220001,SS0.5,1.25
2224220001,SS0.85,1.45
2224220002,SS0.3,1
2224220002,SS0.5,1.05
222DC10001,SX1.25,1.5
222DC10002,AS8.0,3.15
222DC10002,EF8.0,3.15
222DC10002,VF8.0,3.15
222DC10003,SS0.5,1.3
222DC10003,SX0.5,1.3
222DC10003,VS0.5,1.3
222DC10003,XA0.5,1.3
222DC10003,XF0.5,1.3
222DC10003,XF0.75,1.35
222DC10003,SS0.85,1.35
222DCK0001,SHB0.5,1.1
222DCK0001,SHF0.5,1.1
222DCK0001,SS0.5,1.1
222DCK0001,SX0.5,1.1
222DCK0001,VS0.5,1.1
222DCK0001,XF0.5,1.1
222DCK0001,HS0.75,1.2
222DCK0001,SX0.75,1.2
222DCK0001,VS0.75,1.2
222DCK0001,XF0.75,1.2
222DCK0001,SS0.85,1.25
222DCK0001,SX0.85,1.25
222DCK0002,SHB0.3,0.85
222DCK0002,SHF0.3,0.85
222DCK0002,SX0.3,0.85
222DCK0002,XF0.3,0.85
222DCK0003,HS1.25,1.4
222DCK0003,SX1.25,1.4
222DCK0003,XF1.25,1.4
222DCR0001,CH0.22,0.7
222DCR0001,SS0.3,0.85
222DCR0001,SX0.3,0.85
222DCR0001,XA0.3,0.85
222DCR0001,XF0.3,0.85
222DCR0001,SS0.5,0.95
222DCR0001,XF0.5,0.95
222DCS0001,XF0.3,1.15
222DCS0001,VF0.5,1.25
222DCS0001,XF0.5,1.25
222ETC0002,SS2.0+SS2.0,2.1
222ETC0002,AS5.0,2.5
222IWP0001,SS0.3,1
222IWP0001,SS0.5,1.2
222JPT0001,SS0.5,1.2
222JPT0001,SX0.5,1.2
222JPT0001,XF0.5,1.2
222JPT0001,XF0.75,1.35
222JPT0001,EF0.85,1.35
222JPT0001,SS0.85,1.35
222JPT0001,XF0.85,1.35
222JPT0002,SS1.25,1.4
222JPT0002,SX1.25,1.4
222JPT0002,XA1.25,1.4
222JPT0002,SS2.0,1.6
222JPT0002,VS2.0,1.6
222JPT0002,XF2.0,1.6
222JPT0002,XF2.5,1.85
222JPT0003,SS0.3,1.1
222JPT0003,SX0.3,1.1
222JPT0003,XA0.3,1.1
222JPT0003,XF0.3,1.1
222JPT0003,CI0.35,1.1
222JPT0004,CI0.5,1.2
222JPT0004,SH0.5,1.2
222JPT0004,SHS0.5,1.2
222JPT0004,SS0.5,1.2
222JPT0004,SX0.5,1.2
222JPT0004,XA0.5,1.2
222JPT0004,XF0.5,1.2
222JPT0004,XF0.75,1.3
222JPT0004,EF0.85,1.3
222JPT0004,SS0.85,1.3
222JPT0004,SX0.85,1.3
222JPT0004,XA0.85,1.3
222MLC0001,SS0.3,0.85
222NWP0001,SS0.3,1
